model,format,clients,input_tokens,status,reason,source_csv,evidence
70b,IQ1_M,8,2048,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c8/p2048
70b,IQ1_M,8,4096,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c8/p4096
70b,IQ1_M,8,8192,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c8/p8192
70b,IQ1_M,8,16384,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c8/p16384
70b,IQ1_M,16,2048,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c16/p2048
70b,IQ1_M,16,4096,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c16/p4096
70b,IQ1_M,16,8192,complete,"All requested repetitions passed token, placement, swap and headroom validation",results/context-study/poster-70b-20260914/report/capacity.csv,results/context-study/poster-70b-20260914/70b/IQ1_M/c16/p8192
70b,IQ1_M,16,16384,missing,No cell result,results/cuda-context-study/report/capacity.csv,results/cuda-context-study-70b/IQ1_M/c16/p16384
70b,IQ1_M,32,2048,missing,No cell result,results/cuda-context-study/report/capacity.csv,results/cuda-context-study-70b/IQ1_M/c32/p2048
70b,IQ1_M,32,4096,missing,No cell result,results/cuda-context-study/report/capacity.csv,results/cuda-context-study-70b/IQ1_M/c32/p4096
70b,IQ1_M,32,8192,missing,No cell result,results/cuda-context-study/report/capacity.csv,results/cuda-context-study-70b/IQ1_M/c32/p8192
