phase,gpu,category,Q4_instructions,Q2_instructions,extra_instructions,relative_change_percent,share_of_net_extra_percent,FFMA_plus_I2FP_share_percent
prefill,0,FFMA,234881024.0,440401920.0,205520896.0,87.5,43.18332429664438,74.02855593710464
prefill,0,I2FP,117440512.0,264241152.0,146800640.0,125.0,30.84523164046027,74.02855593710464
prefill,0,Other opcodes,331376640.0,454981632.0,123604992.0,37.300454250486695,25.971444062895355,74.02855593710464
prefill,0,All instructions,683698176.0,1159624704.0,475926528.0,69.6106183556646,100.0,74.02855593710464
prefill,1,FFMA,234881024.0,440401920.0,205520896.0,87.5,43.18332429664438,74.02855593710464
prefill,1,I2FP,117440512.0,264241152.0,146800640.0,125.0,30.84523164046027,74.02855593710464
prefill,1,Other opcodes,331376640.0,454981632.0,123604992.0,37.300454250486695,25.971444062895355,74.02855593710464
prefill,1,All instructions,683698176.0,1159624704.0,475926528.0,69.6106183556646,100.0,74.02855593710464
decode,0,FFMA,18350080.0,33030144.0,14680064.0,80.0,31.742095474271544,63.48419094854309
decode,0,I2FP,14680064.0,29360128.0,14680064.0,100.0,31.742095474271544,63.48419094854309
decode,0,Other opcodes,98215936.0,115103744.0,16887808.0,17.194570135746613,36.51580905145691,63.48419094854309
decode,0,All instructions,131246080.0,177494016.0,46247936.0,35.23757509557619,100.0,63.48419094854309
decode,1,FFMA,18350080.0,33030144.0,14680064.0,80.0,31.742095474271544,63.48419094854309
decode,1,I2FP,14680064.0,29360128.0,14680064.0,100.0,31.742095474271544,63.48419094854309
decode,1,Other opcodes,98215936.0,115103744.0,16887808.0,17.194570135746613,36.51580905145691,63.48419094854309
decode,1,All instructions,131246080.0,177494016.0,46247936.0,35.23757509557619,100.0,63.48419094854309
