phase,gpu,opcode,Q4_instructions,Q2_instructions,extra_instructions,relative_change_percent,share_of_net_extra_percent,metric,statistic,launches_per_format
prefill,0,BAR,924672.0,924672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,BRA,265216.0,265216.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,CALL,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,CS2R,222208.0,207872.0,-14336.0,-6.451612903225811,-0.003012229652388698,sass__inst_executed_per_opcode,median,5
prefill,0,EXIT,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,F2I,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,FADD,0,29360128.0,29360128.0,,6.169046328092054,sass__inst_executed_per_opcode,median,5
prefill,0,FFMA,234881024.0,440401920.0,205520896.0,87.5,43.18332429664438,sass__inst_executed_per_opcode,median,5
prefill,0,FMUL,117440512.0,146800640.0,29360128.0,25.0,6.169046328092054,sass__inst_executed_per_opcode,median,5
prefill,0,HADD2,73400320.0,88080384.0,14680064.0,19.999999999999996,3.084523164046027,sass__inst_executed_per_opcode,median,5
prefill,0,HMUL2,1146880.0,1835008.0,688128.0,60.00000000000001,0.1445870233146575,sass__inst_executed_per_opcode,median,5
prefill,0,I2F,1849344.0,3684352.0,1835008.0,99.2248062015504,0.38556539550575336,sass__inst_executed_per_opcode,median,5
prefill,0,I2FP,117440512.0,264241152.0,146800640.0,125.0,30.84523164046027,sass__inst_executed_per_opcode,median,5
prefill,0,IADD3,4365312.0,3662848.0,-702464.0,-16.09195402298851,-0.1475992529670462,sass__inst_executed_per_opcode,median,5
prefill,0,IMAD,6056960.0,6745088.0,688128.0,11.360946745562138,0.1445870233146575,sass__inst_executed_per_opcode,median,5
prefill,0,IMMA,29360128.0,66060288.0,36700160.0,125.0,7.711307910115067,sass__inst_executed_per_opcode,median,5
prefill,0,IMNMX,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,ISETP,465920.0,465920.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,LDG,13074432.0,15597568.0,2523136.0,19.298245614035082,0.5301524188204109,sass__inst_executed_per_opcode,median,5
prefill,0,LDS,38993920.0,40828928.0,1835008.0,4.705882352941182,0.38556539550575336,sass__inst_executed_per_opcode,median,5
prefill,0,LDSM,3670016.0,3670016.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,LEA,3713024.0,2795520.0,-917504.0,-24.710424710424704,-0.19278269775287668,sass__inst_executed_per_opcode,median,5
prefill,0,LOP3,10300416.0,11418624.0,1118208.0,10.855949895615868,0.23495391288631845,sass__inst_executed_per_opcode,median,5
prefill,0,MOV,852992.0,1569792.0,716800.0,84.03361344537814,0.1506114826194349,sass__inst_executed_per_opcode,median,5
prefill,0,MUFU,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,PLOP3,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,PRMT,917504.0,3670016.0,2752512.0,300.0,0.57834809325863,sass__inst_executed_per_opcode,median,5
prefill,0,S2R,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,S2UR,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,SHF,7268352.0,8644608.0,1376256.0,18.934911242603558,0.289174046629315,sass__inst_executed_per_opcode,median,5
prefill,0,STG,458752.0,458752.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,STS,15834112.0,17439744.0,1605632.0,10.140334993209589,0.3373697210675342,sass__inst_executed_per_opcode,median,5
prefill,0,UIADD3,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,UIMAD,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,ULDC,243712.0,243712.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,0,UMOV,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,BAR,924672.0,924672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,BRA,265216.0,265216.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,CALL,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,CS2R,222208.0,207872.0,-14336.0,-6.451612903225811,-0.003012229652388698,sass__inst_executed_per_opcode,median,5
prefill,1,EXIT,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,F2I,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,FADD,0,29360128.0,29360128.0,,6.169046328092054,sass__inst_executed_per_opcode,median,5
prefill,1,FFMA,234881024.0,440401920.0,205520896.0,87.5,43.18332429664438,sass__inst_executed_per_opcode,median,5
prefill,1,FMUL,117440512.0,146800640.0,29360128.0,25.0,6.169046328092054,sass__inst_executed_per_opcode,median,5
prefill,1,HADD2,73400320.0,88080384.0,14680064.0,19.999999999999996,3.084523164046027,sass__inst_executed_per_opcode,median,5
prefill,1,HMUL2,1146880.0,1835008.0,688128.0,60.00000000000001,0.1445870233146575,sass__inst_executed_per_opcode,median,5
prefill,1,I2F,1849344.0,3684352.0,1835008.0,99.2248062015504,0.38556539550575336,sass__inst_executed_per_opcode,median,5
prefill,1,I2FP,117440512.0,264241152.0,146800640.0,125.0,30.84523164046027,sass__inst_executed_per_opcode,median,5
prefill,1,IADD3,4365312.0,3662848.0,-702464.0,-16.09195402298851,-0.1475992529670462,sass__inst_executed_per_opcode,median,5
prefill,1,IMAD,6056960.0,6745088.0,688128.0,11.360946745562138,0.1445870233146575,sass__inst_executed_per_opcode,median,5
prefill,1,IMMA,29360128.0,66060288.0,36700160.0,125.0,7.711307910115067,sass__inst_executed_per_opcode,median,5
prefill,1,IMNMX,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,ISETP,465920.0,465920.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,LDG,13074432.0,15597568.0,2523136.0,19.298245614035082,0.5301524188204109,sass__inst_executed_per_opcode,median,5
prefill,1,LDS,38993920.0,40828928.0,1835008.0,4.705882352941182,0.38556539550575336,sass__inst_executed_per_opcode,median,5
prefill,1,LDSM,3670016.0,3670016.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,LEA,3713024.0,2795520.0,-917504.0,-24.710424710424704,-0.19278269775287668,sass__inst_executed_per_opcode,median,5
prefill,1,LOP3,10300416.0,11418624.0,1118208.0,10.855949895615868,0.23495391288631845,sass__inst_executed_per_opcode,median,5
prefill,1,MOV,852992.0,1569792.0,716800.0,84.03361344537814,0.1506114826194349,sass__inst_executed_per_opcode,median,5
prefill,1,MUFU,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,PLOP3,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,PRMT,917504.0,3670016.0,2752512.0,300.0,0.57834809325863,sass__inst_executed_per_opcode,median,5
prefill,1,S2R,14336.0,14336.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,S2UR,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,SHF,7268352.0,8644608.0,1376256.0,18.934911242603558,0.289174046629315,sass__inst_executed_per_opcode,median,5
prefill,1,STG,458752.0,458752.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,STS,15834112.0,17439744.0,1605632.0,10.140334993209589,0.3373697210675342,sass__inst_executed_per_opcode,median,5
prefill,1,UIADD3,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,UIMAD,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,ULDC,243712.0,243712.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
prefill,1,UMOV,7168.0,7168.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,BAR,28672.0,28672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,BRA,258048.0,258048.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,BSSY,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,BSYNC,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,CALL,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,CS2R,143360.0,172032.0,28672.0,19.999999999999996,0.06199628022318661,sass__inst_executed_per_opcode,median,5
decode,0,EXIT,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,FADD,5046272.0,5046272.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,FFMA,18350080.0,33030144.0,14680064.0,80.0,31.742095474271544,sass__inst_executed_per_opcode,median,5
decode,0,FMUL,3670016.0,3670016.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,HADD2,4587520.0,8257536.0,3670016.0,80.0,7.935523868567886,sass__inst_executed_per_opcode,median,5
decode,0,I2FP,14680064.0,29360128.0,14680064.0,100.0,31.742095474271544,sass__inst_executed_per_opcode,median,5
decode,0,IADD3,15095808.0,15038464.0,-57344.0,-0.3798670465337106,-0.12399256044637322,sass__inst_executed_per_opcode,median,5
decode,0,IDP,22020096.0,29360128.0,7340032.0,33.33333333333333,15.871047737135772,sass__inst_executed_per_opcode,median,5
decode,0,IMAD,19783680.0,18952192.0,-831488.0,-4.202898550724643,-1.7978921264724117,sass__inst_executed_per_opcode,median,5
decode,0,ISETP,602112.0,372736.0,-229376.0,-38.095238095238095,-0.49597024178549287,sass__inst_executed_per_opcode,median,5
decode,0,LDG,13762560.0,17432576.0,3670016.0,26.66666666666666,7.935523868567886,sass__inst_executed_per_opcode,median,5
decode,0,LDS,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,LEA,573440.0,4272128.0,3698688.0,645.0,7.9975201487910725,sass__inst_executed_per_opcode,median,5
decode,0,LOP3,5677056.0,5562368.0,-114688.0,-2.020202020202022,-0.24798512089274644,sass__inst_executed_per_opcode,median,5
decode,0,MOV,1777664.0,573440.0,-1204224.0,-67.74193548387098,-2.6038437693738374,sass__inst_executed_per_opcode,median,5
decode,0,S2R,143360.0,143360.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,SHF,2723840.0,3641344.0,917504.0,33.68421052631578,1.9838809671419715,sass__inst_executed_per_opcode,median,5
decode,0,SHFL,1146880.0,1146880.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,STG,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,STS,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,ULDC,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,0,USHF,28672.0,28672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,BAR,28672.0,28672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,BRA,258048.0,258048.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,BSSY,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,BSYNC,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,CALL,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,CS2R,143360.0,172032.0,28672.0,19.999999999999996,0.06199628022318661,sass__inst_executed_per_opcode,median,5
decode,1,EXIT,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,FADD,5046272.0,5046272.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,FFMA,18350080.0,33030144.0,14680064.0,80.0,31.742095474271544,sass__inst_executed_per_opcode,median,5
decode,1,FMUL,3670016.0,3670016.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,HADD2,4587520.0,8257536.0,3670016.0,80.0,7.935523868567886,sass__inst_executed_per_opcode,median,5
decode,1,I2FP,14680064.0,29360128.0,14680064.0,100.0,31.742095474271544,sass__inst_executed_per_opcode,median,5
decode,1,IADD3,15095808.0,15038464.0,-57344.0,-0.3798670465337106,-0.12399256044637322,sass__inst_executed_per_opcode,median,5
decode,1,IDP,22020096.0,29360128.0,7340032.0,33.33333333333333,15.871047737135772,sass__inst_executed_per_opcode,median,5
decode,1,IMAD,19783680.0,18952192.0,-831488.0,-4.202898550724643,-1.7978921264724117,sass__inst_executed_per_opcode,median,5
decode,1,ISETP,602112.0,372736.0,-229376.0,-38.095238095238095,-0.49597024178549287,sass__inst_executed_per_opcode,median,5
decode,1,LDG,13762560.0,17432576.0,3670016.0,26.66666666666666,7.935523868567886,sass__inst_executed_per_opcode,median,5
decode,1,LDS,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,LEA,573440.0,4272128.0,3698688.0,645.0,7.9975201487910725,sass__inst_executed_per_opcode,median,5
decode,1,LOP3,5677056.0,5562368.0,-114688.0,-2.020202020202022,-0.24798512089274644,sass__inst_executed_per_opcode,median,5
decode,1,MOV,1777664.0,573440.0,-1204224.0,-67.74193548387098,-2.6038437693738374,sass__inst_executed_per_opcode,median,5
decode,1,S2R,143360.0,143360.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,SHF,2723840.0,3641344.0,917504.0,33.68421052631578,1.9838809671419715,sass__inst_executed_per_opcode,median,5
decode,1,SHFL,1146880.0,1146880.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,STG,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,STS,229376.0,229376.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,ULDC,57344.0,57344.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
decode,1,USHF,28672.0,28672.0,0.0,0.0,0.0,sass__inst_executed_per_opcode,median,5
