format,phase,gpu,operator,type,m,n,k,kernel,grid,block,fp32_flops,duration_s,dram_bytes,fp32_flops_per_byte,fp32_flops_per_s,samples,scope,compute_roof_fp32_flops_per_s,dram_roof_bytes_per_s
Q4_K_M,prefill,0,Q projection,q4_K,8192,512,8192,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(84, 1, 1)","(32, 8, 1)",5368709120.0,0.000654448,219727552.0,24.43348727850772,8203516154235.055,2,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,V projection,q6_K,1024,512,8192,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(84, 1, 1)","(32, 8, 1)",335544320.0,0.000118016,36656384.0,9.153775778865695,2843210412147.5054,3,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,K projection,q4_K,1024,512,8192,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(84, 1, 1)","(32, 8, 1)",671088640.0,0.00010102400000000001,26478464.0,25.346554495113065,6642866144023.39,2,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,FlashAttention,f32,,,,"void flash_attn_ext_f16<(int)128, (int)128, (int)8, (int)8, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)","(512, 1, 1)","(32, 4, 1)",96731136.0,0.000130304,38950016.0,2.483468453517452,742349705304.5187,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,Attn. output,q4_K,8192,512,8192,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(84, 1, 1)","(32, 8, 1)",5368709120.0,0.00065472,219661056.0,24.440878222856217,8200007820136.853,1,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,FFN gate/up,q4_K,28672,512,8192,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(896, 1, 1)","(32, 8, 1)",18790481920.0,0.002264,243267840.0,77.2419482986325,8299682826855.124,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,prefill,0,FFN down,q6_K,8192,512,28672,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","(84, 1, 1)","(32, 8, 1)",9395240960.0,0.002691568,1261543040.0,7.447525103635655,3490624835606.1987,2,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,Q projection,q4_K,8192,8,8192,"void mul_mat_vec_q<(ggml_type)12, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(4096, 1, 1)","(32, 2, 1)",415109120.0,9.408000000000001e-05,40551040.0,10.236707122677988,4412299319727.891,3,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,V projection,q6_K,1024,8,8192,"void mul_mat_vec_q<(ggml_type)14, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(512, 1, 1)","(32, 2, 1)",51888640.0,2.3296000000000002e-05,9534336.0,5.442291943560622,2227362637362.637,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,K projection,q4_K,1024,8,8192,"void mul_mat_vec_q<(ggml_type)12, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(512, 1, 1)","(32, 2, 1)",51888640.0,1.9200000000000003e-05,6747136.0,7.690468963423888,2702533333333.333,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,FlashAttention,f32,,,,"void flash_attn_ext_f16<(int)128, (int)128, (int)1, (int)8, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)","(64, 1, 1)","(32, 4, 1)",7727104.0,0.00011753600000000001,78525184.0,0.09840287671277535,65742444867.955345,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,Attn. output,q4_K,8192,8,8192,"void mul_mat_vec_q<(ggml_type)12, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(4096, 1, 1)","(32, 2, 1)",415109120.0,9.4576e-05,40556544.0,10.235317914161847,4389169369979.9424,2,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,FFN gate/up,q4_K,28672,8,8192,"void mul_mat_vec_q<(ggml_type)12, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(14336, 1, 1)","(32, 2, 1)",1452881920.0,0.00031824,135622656.0,10.712678566035457,4565365510306.687,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,FFN down,q6_K,8192,8,28672,"void mul_mat_vec_q<(ggml_type)14, (int)8, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)","(4096, 1, 1)","(32, 2, 1)",1421742080.0,0.00042710400000000004,197495040.0,7.198874867946051,3328795984116.281,5,one exploratory capture,38700000000000.0,768000000000.0
Q4_K_M,decode,0,FlashAttention,f32,,,,"void flash_attn_ext_f16<(int)128, (int)128, (int)1, (int)8, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)","(84, 1, 1)","(32, 4, 1)",6992640.0,0.00010099200000000001,66449408.0,0.10523254022067435,69239543726.23573,5,one exploratory capture,38700000000000.0,768000000000.0
