model,format,concurrency,input_tokens,output_tokens,experiment,repetitions,successful_requests,failed_requests,output_tokens_per_second_mean,output_tokens_per_second_stddev,min_max_client_inflight,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,gpu0_telemetry_samples,gpu0_peak_vram_gib,gpu0_power_mean_w,gpu0_temperature_max_c,gpu0_sm_clock_min_mhz,gpu0_sm_clock_max_mhz,gpu0_memory_clock_min_mhz,gpu0_sw_thermal_limit_observed,gpu0_hw_thermal_limit_observed,gpu0_thermal_limit_observed,gpu1_telemetry_samples,gpu1_peak_vram_gib,gpu1_power_mean_w,gpu1_temperature_max_c,gpu1_sm_clock_min_mhz,gpu1_sm_clock_max_mhz,gpu1_memory_clock_min_mhz,gpu1_sw_thermal_limit_observed,gpu1_hw_thermal_limit_observed,gpu1_thermal_limit_observed,server_max_active_slots_min_across_runs,server_task_events_complete,decode_sequences_added_per_batch_histogram,runtime_matrix_activation_width_status,evidence
70b,IQ1_M,8,2048,512,serving_grid,1,16,0,124.71796093890791,,8,4003.765449000639,9945.539981001275,56.73508462524223,61.34851140704319,32706.073886998638,39211.15034525155,327,12.5361328125,328.63755351681954,60.0,2355.0,2422.0,12481.0,False,False,False,327,12.4365234375,326.3244342507645,61.0,2347.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c8/p2048
70b,IQ1_M,8,4096,512,serving_grid,1,16,0,92.93217731509287,,8,6423.604693502057,18467.772576749667,73.99609605773261,79.01118541144791,43822.49526399937,56513.805437250085,440,15.1083984375,337.83206818181816,63.0,2370.0,2430.0,12481.0,False,False,False,440,14.8818359375,334.71543181818186,63.0,2362.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c8/p4096
70b,IQ1_M,8,8192,512,serving_grid,1,16,0,61.16933050497967,,8,7667.601343999195,36460.43646425005,115.6640280861049,120.18038770401274,66443.14163650051,96008.50600000103,668,20.2470703125,352.846122754491,63.0,2362.0,2430.0,12481.0,False,False,False,668,19.7724609375,341.98997005988025,63.0,2362.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c8/p8192
70b,IQ1_M,8,16384,512,serving_grid,1,16,0,35.479391327306026,,8,14693.692292998094,74367.2045634985,196.46064115068197,201.92379238208912,114239.8148179982,175466.41997024836,1152,30.5283203125,361.7292621527778,64.0,2355.0,2422.0,12481.0,False,False,False,1152,29.5537109375,352.57307291666666,64.0,2355.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c8/p16384
70b,IQ1_M,8,32768,512,capacity_extension,1,16,0,18.42801958162262,,8,27862.404067998796,160593.13450699937,378.24852890019565,384.90035181018163,219101.12127700087,355324.52550675045,2217,51.0908203125,377.36068110058636,66.0,2340.0,2422.0,12481.0,False,False,False,2217,49.1162109375,364.64439332431215,66.0,2340.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c8/p32768
70b,IQ1_M,16,2048,512,serving_grid,1,32,0,57.886065644398414,,16,4511.21261750086,20762.415278849585,267.62895825440273,270.3868628811116,140664.16492999997,157905.95035569987,1412,16.0615234375,243.50108356940513,61.0,2362.0,2422.0,12481.0,False,False,False,1412,15.7880859375,246.81751416430595,62.0,2362.0,2430.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c16/p2048
70b,IQ1_M,16,4096,512,serving_grid,1,32,0,50.12061929092476,,16,7346.898143001454,38764.70300464971,303.6879194706456,306.9991801886458,161713.8863154996,194670.60791414912,1630,21.1943359375,261.5649263803681,62.0,2362.0,2430.0,12481.0,False,False,False,1630,20.6708984375,262.21739877300615,63.0,2362.0,2430.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c16/p4096
70b,IQ1_M,16,8192,512,serving_grid,1,32,0,39.25772051297976,,16,10406.120246498176,76413.8719691051,380.8357227465754,389.03181532807173,205070.7875500011,274525.30782265204,2081,31.4599609375,286.8727102354637,63.0,2362.0,2422.0,12481.0,False,False,False,2081,30.4365234375,284.750855358001,64.0,2362.0,2430.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c16/p8192
70b,IQ1_M,16,16384,512,serving_grid,1,32,0,26.90454822107383,,16,17197.35810900238,157613.35885254992,541.895057841492,561.6783649563624,296580.38086950185,443785.86353780155,3036,51.9892578125,318.7652964426877,64.0,2355.0,2422.0,12481.0,False,False,False,3036,49.9677734375,312.03900856389987,64.0,2355.0,2430.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/IQ1_M/c16/p16384
70b,Q8_0,8,2048,512,serving_grid,1,16,0,105.13764907366131,,8,2532.9685825017805,6536.511637501462,70.89186033757471,73.80533765264556,38628.93148550211,42949.40080525157,388,39.1669921875,327.6369845360825,63.0,2407.0,2430.0,12481.0,False,False,False,388,38.3408203125,325.1805670103093,65.0,2407.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c8/p2048
70b,Q8_0,8,4096,512,serving_grid,1,16,0,87.71411270735727,,8,4100.827984999341,11924.129659750179,83.0590972015658,86.22627705821155,46235.52983949776,54636.82859925029,465,41.7373046875,343.9828172043011,65.0,2400.0,2430.0,12481.0,False,False,False,465,40.7861328125,339.0923655913979,66.0,2400.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c8/p4096
70b,Q8_0,8,8192,512,serving_grid,1,16,0,64.86774396253206,,8,6008.0753284964885,23817.929821496364,110.59214549021445,114.14205402201716,62203.76243050123,80932.1536364987,630,46.8779296875,369.9311746031746,67.0,2370.0,2430.0,12481.0,False,False,False,630,45.6767578125,358.6429047619048,68.0,2385.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c8/p8192
70b,Q8_0,8,16384,512,serving_grid,1,16,0,41.55627348404332,,8,9285.973937498056,50643.70273050008,170.50982833952838,175.00266236546585,96531.0275060001,138914.23061450405,983,57.1591796875,391.1144048830112,67.0,2370.0,2422.0,12481.0,False,False,False,983,55.4580078125,381.91016276703965,69.0,2392.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c8/p16384
70b,Q8_0,8,32768,512,capacity_extension,1,16,0,22.967088407789166,,8,18868.656443497457,111744.82095874737,304.2626648052851,312.8962928546986,173580.27677549762,270470.36684899835,1779,77.7216796875,421.70059584035977,69.0,2362.0,2430.0,12481.0,False,False,False,1779,75.0205078125,404.8974198988196,70.0,2340.0,2430.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c8/p32768
70b,Q8_0,16,2048,512,serving_grid,1,32,0,160.05981329402155,,16,2572.4387645022944,12754.821510702459,94.24078419080308,96.35000015557665,50482.86356750032,60981.92283255012,510,42.6904296875,287.3019803921569,63.0,2392.0,2422.0,12481.0,False,False,False,510,41.6923828125,281.63450980392156,65.0,2392.0,2430.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-iq1-q8-r1-70b/Q8_0/c16/p2048
