model,format,concurrency,input_tokens,output_tokens,experiment,repetitions,successful_requests,failed_requests,output_tokens_per_second_mean,output_tokens_per_second_stddev,min_max_client_inflight,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,gpu0_telemetry_samples,gpu0_peak_vram_gib,gpu0_power_mean_w,gpu0_temperature_max_c,gpu0_sm_clock_min_mhz,gpu0_sm_clock_max_mhz,gpu0_memory_clock_min_mhz,gpu0_sw_thermal_limit_observed,gpu0_hw_thermal_limit_observed,gpu0_thermal_limit_observed,gpu1_telemetry_samples,gpu1_peak_vram_gib,gpu1_power_mean_w,gpu1_temperature_max_c,gpu1_sm_clock_min_mhz,gpu1_sm_clock_max_mhz,gpu1_memory_clock_min_mhz,gpu1_sw_thermal_limit_observed,gpu1_hw_thermal_limit_observed,gpu1_thermal_limit_observed,server_max_active_slots_min_across_runs,server_task_events_complete,decode_sequences_added_per_batch_histogram,runtime_matrix_activation_width_status,evidence
70b,Q2_K,8,2048,512,serving_grid,1,16,0,147.9809477252442,,8,3352.1259015005853,8727.788937998412,47.55167572407055,51.622918079256,27539.379929499773,33315.04483899925,276,16.4599609375,299.6330434782609,63.0,2407.0,2422.0,12481.0,False,False,False,276,16.5029296875,300.48670289855073,66.0,2400.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c8/p2048
70b,Q2_K,8,4096,512,serving_grid,1,16,0,107.66557358145272,,8,5576.160696499755,16354.916060500727,63.44043661350216,68.15533893688763,37765.25987649984,49094.93711849973,379,19.0322265625,329.49282321899733,65.0,2407.0,2422.0,12481.0,False,False,False,379,18.9501953125,324.7203957783641,67.0,2407.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c8/p4096
70b,Q2_K,8,8192,512,serving_grid,1,16,0,68.77796012337882,,8,7981.256383999607,32465.149763749196,100.73615702543916,105.38299419031122,58983.402478500466,84373.94002100018,594,24.1708984375,355.32195286195287,66.0,2392.0,2422.0,12481.0,False,False,False,594,23.8408203125,348.3691414141414,68.0,2385.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c8/p8192
70b,Q2_K,8,16384,512,serving_grid,1,16,0,39.070697998058925,,8,12208.694152000135,67268.87698099972,180.46473374266114,184.6086551291581,103536.83246400033,160320.49341599987,1045,34.4521484375,380.26450717703347,68.0,2370.0,2422.0,12481.0,False,False,False,1045,33.6220703125,371.0324880382775,69.0,2392.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c8/p16384
70b,Q2_K,8,32768,512,capacity_extension,1,16,0,20.07139635732516,,8,25516.829800501,145768.39034175052,347.63359765068554,354.0795427871821,200707.0560530001,324989.3472777494,2036,55.0146484375,403.9506532416503,69.0,2370.0,2422.0,12481.0,False,False,False,2036,53.1826171875,394.65051080550097,70.0,2317.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c8/p32768
70b,Q2_K,16,2048,512,serving_grid,1,32,0,194.81987204048008,,16,3357.201621999593,17056.097893350758,75.05760978375753,77.97115629872857,41648.341964499195,55465.82888195089,419,19.9853515625,323.3081622911694,65.0,2407.0,2422.0,12481.0,False,False,False,419,19.8564453125,320.17704057279235,66.0,2400.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c16/p2048
70b,Q2_K,16,4096,512,serving_grid,1,32,0,129.8811385312222,,16,5940.488967999954,32551.27373499945,110.58866597749616,114.1492821267125,62374.984490000315,89703.1417746999,630,25.1181640625,346.8961111111111,66.0,2392.0,2422.0,12481.0,False,False,False,630,24.7392578125,338.3661111111111,67.0,2400.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c16/p4096
70b,Q2_K,16,8192,512,serving_grid,1,32,0,77.03104626745672,,16,8336.501361500268,65611.83215769997,188.88012564188023,192.7902595751441,104794.78855700017,163606.63596569968,1060,35.3837890625,367.8273679245283,67.0,2392.0,2422.0,12481.0,False,False,False,1061,34.5048828125,360.8804429783224,68.0,2385.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c16/p8192
70b,Q2_K,16,16384,512,serving_grid,1,32,0,41.67666059030968,,16,13807.108407499072,136602.50261885038,350.372566547945,357.0018302506859,192668.7619330005,318623.99922030105,1961,55.9130859375,389.40163182049974,68.0,2377.0,2430.0,12481.0,False,False,False,1961,54.0361328125,381.4215298317185,69.0,2287.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q2_K/c16/p16384
70b,Q4_K_M,8,2048,512,serving_grid,1,16,0,140.9939721675076,,8,2552.549132999957,6539.707166249627,51.73742415753394,54.72545788111321,28862.468814999374,33231.75491325037,290,24.0205078125,281.11444827586206,62.0,2355.0,2422.0,12481.0,False,False,False,290,23.7509765625,279.1576551724138,64.0,2287.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c8/p2048
70b,Q4_K_M,8,4096,512,serving_grid,1,16,0,109.66366521757153,,8,4263.003797998863,12248.221465998995,64.6479315851272,68.07657118004164,36980.617411500134,45607.43611224962,372,26.5908203125,317.0088709677419,65.0,2392.0,2422.0,12481.0,False,False,False,372,26.1962890625,313.2987365591398,67.0,2385.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c8/p4096
70b,Q4_K_M,8,8192,512,serving_grid,1,16,0,75.23338980937487,,8,5275.402376499187,24512.04173674978,95.33260934442185,97.8394594359095,53723.113577500044,73874.82575549939,543,31.7314453125,357.7537016574586,67.0,2392.0,2422.0,12481.0,False,False,False,543,31.0869140625,348.8489686924493,69.0,2385.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c8/p8192
70b,Q4_K_M,8,16384,512,serving_grid,1,16,0,44.979854626360485,,8,9446.982907998972,51534.654787499676,157.91804157631756,161.81437572456133,89407.14749999825,133259.6374024988,908,42.0126953125,387.3185462555066,69.0,2385.0,2422.0,12481.0,False,False,False,908,40.8681640625,376.2569713656388,70.0,2377.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c8/p16384
70b,Q4_K_M,8,32768,512,capacity_extension,1,16,0,23.639307828243904,,8,19912.30408299998,114753.4939557504,295.69864123776756,301.9545269926605,169217.41329999984,267638.8456909995,1727,62.5771484375,424.17694267515924,71.0,2355.0,2422.0,12481.0,False,False,False,1727,60.4326171875,407.23678633468444,72.0,2340.0,2422.0,12481.0,False,False,False,8,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c8/p32768
70b,Q4_K_M,16,2048,512,serving_grid,1,32,0,203.4648309426736,,16,2564.095638997969,12878.776774551807,73.12722681213114,75.35035727338332,39860.00905000037,50319.062403450516,401,27.5439453125,312.4665336658354,66.0,2392.0,2422.0,12481.0,False,False,False,401,27.1025390625,309.58965087281797,67.0,2385.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c16/p2048
70b,Q4_K_M,16,4096,512,serving_grid,1,32,0,144.1970722069886,,16,4481.898832000297,24418.659596449652,100.75472048923693,103.51040882768723,56067.62876850007,76535.28313445058,566,32.6767578125,344.0768374558304,67.0,2392.0,2422.0,12481.0,False,False,False,566,31.9853515625,339.00844522968197,68.0,2385.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c16/p4096
70b,Q4_K_M,16,8192,512,serving_grid,1,32,0,89.6732174655872,,16,6403.046243498466,49627.18919405069,162.73816368786905,166.19344561781116,89672.16964650106,134238.38577685074,911,42.9443359375,375.4997255762898,68.0,2392.0,2422.0,12481.0,False,False,False,911,41.7529296875,368.1177497255763,69.0,2385.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c16/p8192
70b,Q4_K_M,16,16384,512,serving_grid,1,32,0,49.97670902979609,,16,10777.089946999695,104792.71733775022,290.77279809393144,298.04914255293517,159755.60950399993,256725.59686879866,1635,63.4755859375,410.31277675840977,69.0,2377.0,2422.0,12481.0,False,False,False,1635,61.2841796875,389.90809174311926,71.0,2362.0,2422.0,12481.0,False,False,False,16,True,,unmeasured: decode additions can share a batch with prompt tokens,../cuda-context-study-rtxpro6000-q2-q4-r1-70b/Q4_K_M/c16/p16384
