quant,concurrency,prompt_tokens,output_tokens,status,wall_seconds,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,output_tokens_per_second,evaluated_prompt_tokens_per_second,total_tokens_per_second,requests
IQ1_M,1,2048,512,ok,19.833,1179.2,1199.2,17.098,17.292,9916.3,51.631,206.52,258.154,2
IQ1_M,1,4096,512,ok,22.399,2209.1,2219.2,17.593,17.595,11199.1,45.717,365.73,411.45,2
IQ1_M,1,8192,512,ok,26.854,4375.9,4387.6,17.713,17.779,13427.1,38.131,610.1,648.234,2
IQ1_M,1,16384,512,ok,37.826,9005.4,9018.4,19.387,19.387,18912.1,27.072,866.29,893.365,2
Q2_K,1,2048,512,ok,26.089,1059.9,1070.2,23.452,23.463,13044.1,39.251,157.0,196.253,2
Q2_K,1,4096,512,ok,28.627,1956.0,1966.4,24.183,24.185,14313.3,35.77,286.16,321.933,2
Q2_K,1,8192,512,ok,32.531,3809.8,3821.2,24.374,24.375,16264.9,31.478,503.65,535.128,2
Q2_K,1,16384,512,ok,41.989,7750.8,7764.9,25.916,25.917,20993.7,24.388,780.4,804.789,2
Q4_K_M,1,2048,512,ok,35.442,778.2,784.7,33.156,33.16,17720.8,28.892,115.57,144.46,2
Q4_K_M,1,4096,512,ok,37.559,1438.7,1445.2,33.935,33.943,18779.5,27.264,218.11,245.373,2
Q4_K_M,1,8192,512,ok,40.47,2823.8,2831.2,34.072,34.073,20234.6,25.303,404.84,430.146,2
Q4_K_M,1,16384,512,ok,48.426,5840.1,5847.1,35.954,35.959,24212.6,21.146,676.66,697.802,2
Q8_0,1,2048,512,ok,55.553,751.8,757.7,52.886,52.898,27776.4,18.433,73.73,92.164,2
Q8_0,1,4096,512,ok,57.559,1390.5,1397.0,53.598,53.603,28779.0,17.791,142.32,160.115,2
Q8_0,1,8192,512,ok,60.497,2733.9,2740.7,53.844,53.851,30248.2,16.926,270.82,287.748,2
Q8_0,1,16384,512,ok,68.159,5654.3,5662.7,55.625,55.629,34078.8,15.024,480.76,495.785,2
